request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_27,5159.40,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR 25,659.40, below the required minimum of 20,500, and no eligible payment method keeps the plan safe."
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 in full today. This keeps the projected balance at or above the 24,768,300 minimum throughout the 90-day forecast (worst point projected at IDR 44,575,290.43)."
request_29,1457.66,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR 29,757.66, below the required minimum of 28,300, and no eligible payment method keeps the plan safe."
request_30,213.27,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to USD 1,113.27, below the required minimum of 900, and no eligible payment method keeps the plan safe."
request_28,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to EUR -1,908.09, below the required minimum of 1,100, and no eligible payment method keeps the plan safe."
request_31,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR -1,578,626.94, below the required minimum of 16,588,900, and no eligible payment method keeps the plan safe."
request_32,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR -80,264.96, below the required minimum of 35,700, and no eligible payment method keeps the plan safe."
request_34,115630.21,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR 254,130.21, below the required minimum of 138,500, and no eligible payment method keeps the plan safe."
request_33,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -194,279.85, below the required minimum of 102,100, and no eligible payment method keeps the plan safe."
request_35,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -127,036.38, below the required minimum of 106,400, and no eligible payment method keeps the plan safe."
request_37,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR -27,760,593.74, below the required minimum of 17,056,200, and no eligible payment method keeps the plan safe."
request_36,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to USD -895.87, below the required minimum of 2,400, and no eligible payment method keeps the plan safe."
request_39,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -45,104, below the required minimum of 213,400, and no eligible payment method keeps the plan safe."
request_38,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to EUR -348.70, below the required minimum of 400, and no eligible payment method keeps the plan safe."
request_40,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to EUR -2,891.68, below the required minimum of 1,500, and no eligible payment method keeps the plan safe."
request_41,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR -143,906.67, below the required minimum of 25,366,600, and no eligible payment method keeps the plan safe."
request_43,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR -19,754,246.58, below the required minimum of 21,398,000, and no eligible payment method keeps the plan safe."
request_42,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -101,136.92, below the required minimum of 113,100, and no eligible payment method keeps the plan safe."
request_45,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR -9,765,444.18, below the required minimum of 11,149,800, and no eligible payment method keeps the plan safe."
request_44,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -180,899.11, below the required minimum of 82,900, and no eligible payment method keeps the plan safe."
request_46,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR 9,387.86, below the required minimum of 84,000, and no eligible payment method keeps the plan safe."
request_47,6146709.46,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR 36,195,709.46, below the required minimum of 30,049,000, and no eligible payment method keeps the plan safe."
request_48,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -56,173.77, below the required minimum of 71,300, and no eligible payment method keeps the plan safe."
request_49,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR -32,799,140.61, below the required minimum of 20,275,700, and no eligible payment method keeps the plan safe."
request_50,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -67,038.48, below the required minimum of 99,700, and no eligible payment method keeps the plan safe."
request_51,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR 7,386,551.15, below the required minimum of 7,811,000, and no eligible payment method keeps the plan safe."
request_53,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to USD -3,854.13, below the required minimum of 2,100, and no eligible payment method keeps the plan safe."
request_52,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -60,336.81, below the required minimum of 41,500, and no eligible payment method keeps the plan safe."
request_54,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR -11,841.79, below the required minimum of 37,000, and no eligible payment method keeps the plan safe."
request_55,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -247,357.70, below the required minimum of 124,300, and no eligible payment method keeps the plan safe."
request_56,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to USD 2,069.10, below the required minimum of 2,100, and no eligible payment method keeps the plan safe."
request_58,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR -13,514,639.98, below the required minimum of 14,433,900, and no eligible payment method keeps the plan safe."
request_57,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR -33,284.61, below the required minimum of 42,700, and no eligible payment method keeps the plan safe."
request_59,115099.27,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR 247,699.27, below the required minimum of 132,600, and no eligible payment method keeps the plan safe."
request_60,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to USD -668.18, below the required minimum of 400, and no eligible payment method keeps the plan safe."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use installments: 2024-03-17: ZAR 10,074.83, then 2024-04-17: ZAR 10,074.83, then 2024-05-18: ZAR 10,074.83. This keeps the balance at or above the 36,700 minimum throughout the forecast."
request_63,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -38,282.17, below the required minimum of 153,500, and no eligible payment method keeps the plan safe."
request_62,340.11,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to USD 1,640.11, below the required minimum of 1,300, and no eligible payment method keeps the plan safe."
request_64,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -35,171.77, below the required minimum of 36,100, and no eligible payment method keeps the plan safe."
request_65,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to ZAR -11,194.47, below the required minimum of 15,500, and no eligible payment method keeps the plan safe."
request_67,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to USD 128.90, below the required minimum of 1,200, and no eligible payment method keeps the plan safe."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 in full today. This keeps the projected balance at or above the 80,700 minimum throughout the 90-day forecast (worst point projected at INR 124,786.43)."
request_68,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to USD -2,266.83, below the required minimum of 1,500, and no eligible payment method keeps the plan safe."
request_69,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to EUR -1,272.84, below the required minimum of 700, and no eligible payment method keeps the plan safe."
request_70,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to INR -207,991.50, below the required minimum of 115,000, and no eligible payment method keeps the plan safe."
request_71,0,not_affordable,not_recommended,none,,none,"Not affordable within the forecast period: the projected balance falls to IDR -15,424,549.69, below the required minimum of 8,884,800, and no eligible payment method keeps the plan safe."
